Facility,Industry,Factory Name,Address,City,Zipcode,Latitude,Longitude,Tags Used
Reworld X,Chemical,Blue Bell Creameries Complex,,,,30.166605,-96.390244,industrial: chemical|product: chemicals
Reworld X,Chemical,Lyondell-Citgo Houston Refinery,,,,29.7132411,-95.2350266,industrial: chemical|product: chemicals
Reworld X,Chemical,Prado Protective Coatings,,,,29.751588,-95.303219,industrial: chemical|product: chemicals
Reworld X,Chemical,Vopak Terminal Deer Park,,,,29.745,-95.094167,industrial: chemical|product: chemicals
Reworld X,Chemical,KOCH MATERIALS BAYTOWN,,,,29.7296872,-95.0007356,industrial: chemical|product: chemicals
Reworld X,Chemical,Vahle,Cane Island Parkway,Katy,77494,29.7837127,-95.8500697,industrial: chemical|product: chemicals
Reworld X,Chemical,Nets of Texas,,,,30.024846,-95.8407969,industrial: chemical|product: chemicals
Reworld X,Chemical,Ram Alloys,Spencer Road,Houston,77041,29.875516,-95.5935416,industrial: chemical|product: chemicals
Reworld X,Chemical,HoustonPoly,Holderrieth Road,Tomball,77375,30.0689506,-95.5960311,industrial: chemical|product: chemicals
Reworld X,Chemical,Wood Preserving Plant,Hartwick Road,Houston,77093,29.8865456,-95.3092718,industrial: chemical|product: chemicals
Reworld X,Chemical,NEVA  Corporation,Brittmoore Park Drive,Houston,77041,29.8484175,-95.5810602,industrial: chemical|product: chemicals
Reworld X,Chemical,Kennedy Fabrication,,,,30.255878,-95.1414475,industrial: chemical|product: chemicals
Reworld X,Chemical,Dixie Used Auto Parts,,,,30.1358542,-95.2186796,industrial: chemical|product: chemicals
Reworld X,Chemical,Ply-Gem,West Carson Street,Bryan,77802,30.6442343,-96.3716631,industrial: chemical|product: chemicals
Reworld X,Chemical,Blue Bell Creameries Complex,,,,30.166605,-96.390244,industrial: chemical|product: petrochemicals
Reworld X,Chemical,Lyondell-Citgo Houston Refinery,,,,29.7132411,-95.2350266,industrial: chemical|product: petrochemicals
Reworld X,Chemical,Prado Protective Coatings,,,,29.751588,-95.303219,industrial: chemical|product: petrochemicals
Reworld X,Chemical,Vopak Terminal Deer Park,,,,29.745,-95.094167,industrial: chemical|product: petrochemicals
Reworld X,Chemical,KOCH MATERIALS BAYTOWN,,,,29.7296872,-95.0007356,industrial: chemical|product: petrochemicals
Reworld X,Chemical,Vahle,Cane Island Parkway,Katy,77494,29.7837127,-95.8500697,industrial: chemical|product: petrochemicals
Reworld X,Chemical,Nets of Texas,,,,30.024846,-95.8407969,industrial: chemical|product: petrochemicals
Reworld X,Chemical,Ram Alloys,Spencer Road,Houston,77041,29.875516,-95.5935416,industrial: chemical|product: petrochemicals
Reworld X,Chemical,HoustonPoly,Holderrieth Road,Tomball,77375,30.0689506,-95.5960311,industrial: chemical|product: petrochemicals
