Facility Name,Factory Name,Parent Company,Website,LinkedIn,Revenue Range
Reworld Dade,Miami Dade County Resource Recovery Facility,NA,NA,NA,NA
Reworld Dade,Flagler Station,Flagler Service Station,http://www.flaglerservicestation.com,http://www.linkedin.com/company/flagler-service-station,
Reworld Dade,Sedanos,"Sedano's Management, Inc.",,http://www.linkedin.com/company/sedano's-management-inc.,
Reworld Dade,Publix,Instituto Publix,http://www.institutopublix.com.br,http://www.linkedin.com/company/instituto-publix,
Reworld Dade,Publix,Instituto Publix,http://www.institutopublix.com.br,http://www.linkedin.com/company/instituto-publix,
Reworld Dade,ALDI,ALDI Nord Group,http://www.aldi-nord.de,http://www.linkedin.com/company/aldinord,24.5B
Reworld Dade,Publix,Instituto Publix,http://www.institutopublix.com.br,http://www.linkedin.com/company/instituto-publix,
Reworld Dade,TJ Maxx,TJ Maxx’s HomeGoods,,http://www.linkedin.com/company/tj-maxx%e2%80%99s-homegoods,
Reworld Palm Beach 1,WPBF Junk Cars,NA,NA,NA,NA
Reworld Palm Beach 1,FPL,FPL Group,http://www.fplonetrust.com,http://www.linkedin.com/company/formulatedpolymersindia,
Reworld Palm Beach 1,Palm Beach Renewable Energy Facility 2,NA,NA,NA,NA
Reworld Palm Beach 1,Publix,Instituto Publix,http://www.institutopublix.com.br,http://www.linkedin.com/company/instituto-publix,
Reworld Palm Beach 1,Walmart Supercenter,Walmart SuperCenter Pharmacy,,http://www.linkedin.com/company/walmart-supercenter-pharmacy,
