FAC_US_CANADA_BORDER_FLG,GLOBALID,OBJECTID,SOURCE_ID,EPA_SYSTEM,REGISTRY_ID,STATUTE,RCR_NAME,RCR_STREET,RCR_CITY,RCR_STATE,RCR_STATE_DISTRICT,RCR_ZIP,RCR_COUNTY,RCR_EPA_REGION,RCR_STATUS,RCR_INDIAN_CNTRY_FLG,RCR_TRIBAL_LAND_CODE,FAC_FIPS_CODE,FAC_LAT,FAC_LONG,FAC_US_MEX_BORDER_FLG,RCR_IMP_WATER_FLG,RCRA_UNIVERSE,RCRA_NAICS,FAC_SIC_CODES,FAC_PERCENT_MINORITY,FAC_POPULATION_DENSITY,FAC_FEDERAL_AGENCY_CODE,CHESAPEAKE_BAY_FLAG,AIR_IDS,CWA_IDS,RCRA_IDS,TRI_IDS,SDWA_IDS,RCRA_CASE_IDS,RCRA_CURR_SNC,RCRA_CURR_COMPL_STATUS,RCRA_QTRS_IN_SNC,RCRA_QTRS_IN_NC,RCRA_CURR_VIOLATION_TYPES,RCRA_INSP_CNT,RCRA_LAST_INSPECTION_DATE,RCRA_DAYS_LAST_INSPECTION,RCRA_IEA_CNT,RCRA_LAST_IEA_DATE,RCRA_FEA_CNT,RCRA_LAST_FEA_DATE,RCRA_PENALTIES,RCRA_LAST_PENALTY_DATE,RCRA_LAST_INSP_DATE_EPA,RCRA_LAST_INSP_DATE_STATE,RCRA_LAST_FEA_DATE_EPA,RCRA_LAST_FEA_DATE_STATE,RCRA_LAST_IEA_DATE_EPA,RCRA_LAST_IEA_DATE_STATE,FAC_TRI_REPORTER,FAC_TRI_ON_SITE_RELEASES,FAC_DERIVED_HUC,FAC_DERIVED_WBD,FAC_DERIVED_WBD_NAME,FAC_MAP_FLG,FAC_MAP_ICON,LAST_VIOLATION_DATE,CURRENT_VIO_CNT,FAC_FEDERAL_AGENCY_NAME,FAC_TRI_OFF_SITE_TRANSFERS,RCR_FIPS_CODE,RCR_LAND_TYPE_CODE,RCR_OLDEST_OPEN_VIO_DATE,FAC_TRI_LAND_RELEASES,RCRA_MAP_ICON,EJSCREEN_FLAG_US,PCTILE_PCTPRE1960_US,PCTILE_DPM_US,PCTILE_CANCER_US,PCTILE_RESP_US,PCTILE_TRAFFIC_SCORE_US,PCTILE_PROXIMITY_NPDES_US,PCTILE_PROXIMITY_NPL_US,PCTILE_PROXIMITY_RMP_US,PCTILE_PROXIMITY_TSDF_US,PCTILE_O3_US,PCTILE_PM_US,MAX_PCTILE_US,DFR_URL
N,{3D2A389E-8252-09C7-E063-B4E44386642E},131,NYD982740367,RCR,1.10008E+11,RCRA,LOT POLISH AIRLINES PAN AM,PAN AM TERM B JFK INTL AIRPORT,JAMAICA,NY,NYSDEC R2,11430,QUEENS,02,Inactive (     ),N,,36081,40.6475,-73.78675,,,Other,,,91.009,8649.56,,,,,NYD982740367,,,,No,No Violation Identified,0,0,NA,0,7.05715E+11,12155,0,,0,,0,,7.05715E+11,,,,,,,,02030202,020302020102,Grassy Bay-Jamaica Bay,Y,RCRA-IA-MN-G.png,,,,,36081,Not Indian/Unknown,,,RCRA-IA-MN-G.png,N,0,,,,0,0,0,0,0,0,0,0,http://echo.epa.gov/detailed-facility-report?fid=110008031156
N,{3D2A389E-8283-09C7-E063-B4E44386642E},164,NYR000004093,RCR,1.10005E+11,RCRA,DBA RITE AID #10559,392-410 PLANDOME RD,MANHASSET,NY,NYSDEC R1,11030,NASSAU,02,Active (H    ),N,,36059,40.79783,-73.69979,,,VSQG,446110,,27.844,4133.77,,,,,NYR000004093,,,,No,No Violation Identified,0,0,NA,0,1.05028E+12,8167,0,1.05244E+12,0,,0,,,1.05028E+12,,,,1.05244E+12,,,02030201,020302010102,Mitchells Creek-Manhassett Bay,Y,RCRA-IC-MN-G.png,,,,,36059,Private,,,RCRA-IC-MN-G.png,N,46,47,55,49,24,47,48,12,40,48,27,55,http://echo.epa.gov/detailed-facility-report?fid=110004513205
N,{3D2A389E-82D4-09C7-E063-B4E44386642E},218,NYN008014771,RCR,1.10023E+11,RCRA,US CUSTOMS HANGAR-MACARTHUR AIRPORT,2101 SMITHTOWN AVE,RONKONKOMA,NY,NYSDEC R1,11779,SUFFOLK,02,Inactive (     ),N,,36103,40.79871,-73.11069,,,Other,,,16.322,2698.48,,,,,NYN008014771,,,,No,No Violation Identified,0,0,NA,0,1.40003E+12,4119,0,,0,,0,,1.12303E+12,1.40003E+12,,,,,,,02030202,020302020305,Brown Creek-Great South Bay,Y,RCRA-IA-MN-G.png,,,,,36103,County,,,RCRA-IA-MN-G.png,N,46,49,25,17,48,15,62,43,41,62,22,62,http://echo.epa.gov/detailed-facility-report?fid=110022923498
N,{3D2A389E-8357-09C7-E063-B4E44386642E},305,NYR000194795,RCR,1.10046E+11,RCRA,CVS PHARMACY #1231,807 WHITE PLAINS RD,SCARSDALE,NY,NYSDEC R3,10583,WESTCHESTER,02,Active (H    ),N,,36119,40.975654,-73.802853,,,VSQG,44611,,24.725,3902.78,,,,,NYR000194795,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030102,020301020102,Upper Bronx River,Y,RCRA-IC-MN-N.png,,,,,36119,Private,,,RCRA-IC-MN-N.png,N,67,63,63,45,53,56,44,45,48,66,53,67,http://echo.epa.gov/detailed-facility-report?fid=110046245728
N,{3D2A389E-83EB-09C7-E063-B4E44386642E},404,NYR000011510,RCR,1.10005E+11,RCRA,GRAND VIEW AUTO REPAIR & TOWING,1964 GRAND AVE,BALDWIN,NY,NYSDEC R1,11510,NASSAU,02,Inactive (     ),N,,36059,40.662756,-73.607642,,,Other,,,57.654,7974.08,,,,,NYR000011510,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020205,Milburn Creek-Middle Bay,Y,RCRA-IA-MN-N.png,,,,,36059,Private,,,RCRA-IA-MN-N.png,Y,84,75,38,59,78,67,76,38,69,80,46,84,http://echo.epa.gov/detailed-facility-report?fid=110004517407
N,{3D2A389E-8423-09C7-E063-B4E44386642E},441,NYR000093542,RCR,1.10005E+11,RCRA,VILLAGE CLEANERS,520 MAIN ST,ISLIP,NY,NYSDEC R1,11751,SUFFOLK,02,Active (H    ),N,,36103,40.729213,-73.213598,,,SQG,,,43.39,3976.2200000000003,,,,,NYR000093542,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020402,Orowoc Creek-Great Cove,Y,RCRA-IC-MN-N.png,,,,,36103,Private,,,RCRA-IC-MN-N.png,N,31,22,8,5,24,5,31,19,24,34,10,34,http://echo.epa.gov/detailed-facility-report?fid=110004566764
N,{3D2A389E-8424-09C7-E063-B4E44386642E},442,NYR000128603,RCR,1.1002E+11,RCRA,KIDDIE KANDIDS #579,1350 CORPORATE DR,WESTBURY,NY,NYSDEC R1,11590,NASSAU,02,Active (H    ),N,,36059,40.743443,-73.587973,,,SQG,812922,,52.473,5655.06,,,,,NYR000128603,,,,No,No Violation Identified,0,0,NA,0,1.18247E+12,6637,0,1.18368E+12,0,,0,,,1.18247E+12,,,,1.18368E+12,,,02030202,020302020203,Freeport Creek,Y,RCRA-IC-MN-G.png,,,,,36059,Private,,,RCRA-IC-MN-G.png,N,0,66,29,48,66,32,71,51,60,70,39,71,http://echo.epa.gov/detailed-facility-report?fid=110020481147
N,{3D2A389E-8442-09C7-E063-B4E44386642E},462,NYP004344172,RCR,1.1006E+11,RCRA,CON EDISON - CUSTOMER MANHOLE 1,37 PEARL STREET,PORT CHESTER,NY,NYSDEC R3,10573,WESTCHESTER,02,Inactive (     ),N,,36119,41.000422,-73.666639,,,Other,221122,,40.257000000000005,3541.7200000000003,,,,,NYP004344172,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,01100006,011000060403,Byram River,Y,RCRA-IA-MN-N.png,,,,,36119,Private,,,RCRA-IA-MN-N.png,Y,97,99,99,99,99,99,91,80,97,99,91,99,http://echo.epa.gov/detailed-facility-report?fid=110060203710
,{3D2A389E-8480-09C7-E063-B4E44386642E},503,CTD043617695,RCR,1.10003E+11,RCRA,MANATI INDUSTRIES INC,ONE GREENWICH PLAZA,GREENWICH,CT,,06830,FAIRFIELD,01,Inactive (     ),N,,09001,41.021119999999996,-73.62415,,,Other,,,38.356,3537.2000000000003,,,,,CTD043617695,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,01100006,011000060405,Blind Brook-Horseneck Brook,Y,RCRA-IA-MN-N.png,,,,,09001,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,45,51,21,41,57,43,40,20,53,61,40,61,http://echo.epa.gov/detailed-facility-report?fid=110003014595
,,,,,,,,,,,,,,,,,,36103,40.76611,-73.28837,,,SQG,325413,2835,56.730000000000004,4355.72,,,,,NYD052785219,11706PLYSC70CLE,,,No,No Violation Identified,0,0,NA,1,1.69154E+12,745,0,1.21332E+12,0,,0,,9.77875E+11,1.69154E+12,,,,1.21332E+12,P,,02030202,020302020403,Sampawams Creek,Y,RCRA-IC-MN-3.png,,,,,36103,Not Indian/Unknown,,,RCRA-IC-MN-3.png,Y,75,70,39,25,64,9,78,51,72,82,42,82,http://echo.epa.gov/detailed-facility-report?fid=110002093537
